I, [2018-02-07T18:23:03.174526 #9834]  INFO -- Kitchen: -----> Starting Kitchen (v1.20.0)
E, [2018-02-07T18:23:03.174862 #9834] ERROR -- Kitchen: ------Exception-------
E, [2018-02-07T18:23:03.174889 #9834] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-02-07T18:23:03.174901 #9834] ERROR -- Kitchen: Message: Kitchen YAML file /home/mguggi/work/totalrecall-kitchen/.kitchen.yml does not exist.
E, [2018-02-07T18:23:03.174911 #9834] ERROR -- Kitchen: ----------------------
E, [2018-02-07T18:23:03.174930 #9834] ERROR -- Kitchen: ------Backtrace-------
E, [2018-02-07T18:23:03.174940 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2018-02-07T18:23:03.174949 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:152:in `data'
E, [2018-02-07T18:23:03.174958 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:131:in `suites'
E, [2018-02-07T18:23:03.174967 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2018-02-07T18:23:03.174978 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2018-02-07T18:23:03.174987 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/config.rb:117:in `instances'
E, [2018-02-07T18:23:03.174996 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2018-02-07T18:23:03.175005 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2018-02-07T18:23:03.175013 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2018-02-07T18:23:03.175022 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/rubies/ruby-2.4.1/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2018-02-07T18:23:03.175031 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/command/action.rb:34:in `call'
E, [2018-02-07T18:23:03.175039 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/cli.rb:52:in `perform'
E, [2018-02-07T18:23:03.175056 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2018-02-07T18:23:03.175066 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2018-02-07T18:23:03.175079 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2018-02-07T18:23:03.175089 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2018-02-07T18:23:03.175098 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2018-02-07T18:23:03.175106 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/bin/kitchen:13:in `block in <top (required)>'
E, [2018-02-07T18:23:03.175115 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2018-02-07T18:23:03.175124 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/gems/test-kitchen-1.20.0/bin/kitchen:13:in `<top (required)>'
E, [2018-02-07T18:23:03.175132 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/bin/kitchen:23:in `load'
E, [2018-02-07T18:23:03.175141 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/bin/kitchen:23:in `<main>'
E, [2018-02-07T18:23:03.175149 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/bin/ruby_executable_hooks:15:in `eval'
E, [2018-02-07T18:23:03.175157 #9834] ERROR -- Kitchen: /home/mguggi/.rvm/gems/ruby-2.4.1/bin/ruby_executable_hooks:15:in `<main>'
E, [2018-02-07T18:23:03.175171 #9834] ERROR -- Kitchen: ----End Backtrace-----
